2.4971 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
148.6997 	DATA 	Keypress: right
148.7126 	EXP 	fixation: autoDraw = False
148.7126 	EXP 	grating: autoDraw = False
148.7128 	EXP 	window1: recordFrameIntervals = False
149.6923 	EXP 	fixation: autoDraw = True
150.6953 	EXP 	fixation: autoDraw = False
150.6953 	EXP 	grating: autoDraw = True
150.6953 	EXP 	grating: tex = 'sin'
150.9951 	EXP 	grating: autoDraw = False
151.3141 	EXP 	window1: recordFrameIntervals = False
151.3152 	DATA 	Keypress: right
151.3283 	EXP 	fixation: autoDraw = False
151.3283 	EXP 	grating: autoDraw = False
151.3285 	EXP 	window1: recordFrameIntervals = False
152.3076 	EXP 	fixation: autoDraw = True
153.3112 	EXP 	fixation: autoDraw = False
153.3112 	EXP 	grating: autoDraw = True
153.3112 	EXP 	grating: tex = 'sin'
153.6108 	EXP 	grating: autoDraw = False
154.0300 	EXP 	window1: recordFrameIntervals = False
154.0311 	DATA 	Keypress: right
154.0440 	EXP 	fixation: autoDraw = False
154.0440 	EXP 	grating: autoDraw = False
154.0442 	EXP 	window1: recordFrameIntervals = False
155.0237 	EXP 	fixation: autoDraw = True
156.0268 	EXP 	fixation: autoDraw = False
156.0268 	EXP 	grating: autoDraw = True
156.0268 	EXP 	grating: tex = 'sin'
156.3265 	EXP 	grating: autoDraw = False
156.7952 	EXP 	window1: recordFrameIntervals = False
156.7963 	DATA 	Keypress: left
156.8098 	EXP 	fixation: autoDraw = False
156.8098 	EXP 	grating: autoDraw = False
156.8100 	EXP 	window1: recordFrameIntervals = False
157.7894 	EXP 	fixation: autoDraw = True
158.7926 	EXP 	fixation: autoDraw = False
158.7926 	EXP 	grating: autoDraw = True
158.7926 	EXP 	grating: tex = 'sin'
159.0924 	EXP 	grating: autoDraw = False
159.2616 	EXP 	window1: recordFrameIntervals = False
159.2629 	DATA 	Keypress: right
159.2756 	EXP 	fixation: autoDraw = False
159.2756 	EXP 	grating: autoDraw = False
159.2758 	EXP 	window1: recordFrameIntervals = False
160.2553 	EXP 	fixation: autoDraw = True
161.2585 	EXP 	fixation: autoDraw = False
161.2585 	EXP 	grating: autoDraw = True
161.2585 	EXP 	grating: tex = 'sin'
161.5582 	EXP 	grating: autoDraw = False
161.7770 	EXP 	window1: recordFrameIntervals = False
161.7781 	DATA 	Keypress: right
161.7916 	EXP 	fixation: autoDraw = False
161.7916 	EXP 	grating: autoDraw = False
161.7918 	EXP 	window1: recordFrameIntervals = False
162.7705 	EXP 	fixation: autoDraw = True
163.7743 	EXP 	fixation: autoDraw = False
163.7743 	EXP 	grating: autoDraw = True
163.7743 	EXP 	grating: tex = 'sin'
164.0741 	EXP 	grating: autoDraw = False
164.2100 	EXP 	window1: recordFrameIntervals = False
164.2114 	DATA 	Keypress: left
164.2239 	EXP 	fixation: autoDraw = False
164.2239 	EXP 	grating: autoDraw = False
164.2241 	EXP 	window1: recordFrameIntervals = False
165.2034 	EXP 	fixation: autoDraw = True
166.2070 	EXP 	fixation: autoDraw = False
166.2070 	EXP 	grating: autoDraw = True
166.2070 	EXP 	grating: tex = 'sin'
166.5065 	EXP 	grating: autoDraw = False
166.9077 	EXP 	window1: recordFrameIntervals = False
166.9084 	DATA 	Keypress: right
166.9230 	EXP 	fixation: autoDraw = False
166.9230 	EXP 	grating: autoDraw = False
166.9231 	EXP 	window1: recordFrameIntervals = False
167.9015 	EXP 	fixation: autoDraw = True
168.9058 	EXP 	fixation: autoDraw = False
168.9058 	EXP 	grating: autoDraw = True
168.9058 	EXP 	grating: tex = 'sin'
169.2057 	EXP 	grating: autoDraw = False
169.3909 	EXP 	window1: recordFrameIntervals = False
169.3919 	DATA 	Keypress: left
169.4056 	EXP 	fixation: autoDraw = False
169.4056 	EXP 	grating: autoDraw = False
169.4058 	EXP 	window1: recordFrameIntervals = False
170.3840 	EXP 	fixation: autoDraw = True
171.3886 	EXP 	fixation: autoDraw = False
171.3886 	EXP 	grating: autoDraw = True
171.3886 	EXP 	grating: tex = 'sin'
171.6881 	EXP 	grating: autoDraw = False
171.9237 	EXP 	window1: recordFrameIntervals = False
171.9251 	DATA 	Keypress: left
171.9378 	EXP 	fixation: autoDraw = False
171.9378 	EXP 	grating: autoDraw = False
171.9381 	EXP 	window1: recordFrameIntervals = False
172.9175 	EXP 	fixation: autoDraw = True
173.9206 	EXP 	fixation: autoDraw = False
173.9206 	EXP 	grating: autoDraw = True
173.9206 	EXP 	grating: tex = 'sin'
174.2205 	EXP 	grating: autoDraw = False
174.5715 	EXP 	window1: recordFrameIntervals = False
174.5720 	DATA 	Keypress: right
174.5869 	EXP 	fixation: autoDraw = False
174.5869 	EXP 	grating: autoDraw = False
174.5871 	EXP 	window1: recordFrameIntervals = False
175.5656 	EXP 	fixation: autoDraw = True
176.5699 	EXP 	fixation: autoDraw = False
176.5699 	EXP 	grating: autoDraw = True
176.5699 	EXP 	grating: tex = 'sin'
176.8697 	EXP 	grating: autoDraw = False
177.1382 	EXP 	window1: recordFrameIntervals = False
177.1395 	DATA 	Keypress: left
177.1528 	EXP 	fixation: autoDraw = False
177.1528 	EXP 	grating: autoDraw = False
177.1530 	EXP 	window1: recordFrameIntervals = False
178.1327 	EXP 	fixation: autoDraw = True
179.1357 	EXP 	fixation: autoDraw = False
179.1357 	EXP 	grating: autoDraw = True
179.1357 	EXP 	grating: tex = 'sin'
179.4356 	EXP 	grating: autoDraw = False
179.5713 	EXP 	window1: recordFrameIntervals = False
179.5726 	DATA 	Keypress: left
179.5855 	EXP 	fixation: autoDraw = False
179.5855 	EXP 	grating: autoDraw = False
179.5858 	EXP 	window1: recordFrameIntervals = False
180.5653 	EXP 	fixation: autoDraw = True
181.5683 	EXP 	fixation: autoDraw = False
181.5683 	EXP 	grating: autoDraw = True
181.5683 	EXP 	grating: tex = 'sin'
181.8683 	EXP 	grating: autoDraw = False
182.1204 	EXP 	window1: recordFrameIntervals = False
182.1218 	DATA 	Keypress: right
182.1346 	EXP 	fixation: autoDraw = False
182.1346 	EXP 	grating: autoDraw = False
182.1348 	EXP 	window1: recordFrameIntervals = False
183.1141 	EXP 	fixation: autoDraw = True
184.1174 	EXP 	fixation: autoDraw = False
184.1174 	EXP 	grating: autoDraw = True
184.1174 	EXP 	grating: tex = 'sin'
184.4172 	EXP 	grating: autoDraw = False
184.7530 	EXP 	window1: recordFrameIntervals = False
184.7542 	DATA 	Keypress: right
184.7670 	EXP 	fixation: autoDraw = False
184.7670 	EXP 	grating: autoDraw = False
184.7673 	EXP 	window1: recordFrameIntervals = False
185.7469 	EXP 	fixation: autoDraw = True
186.7498 	EXP 	fixation: autoDraw = False
186.7498 	EXP 	grating: autoDraw = True
186.7498 	EXP 	grating: tex = 'sin'
187.0493 	EXP 	grating: autoDraw = False
187.4675 	EXP 	window1: recordFrameIntervals = False
187.4684 	DATA 	Keypress: right
187.4829 	EXP 	fixation: autoDraw = False
187.4829 	EXP 	grating: autoDraw = False
187.4831 	EXP 	window1: recordFrameIntervals = False
188.4600 	EXP 	fixation: autoDraw = True
189.4656 	EXP 	fixation: autoDraw = False
189.4656 	EXP 	grating: autoDraw = True
189.4656 	EXP 	grating: tex = 'sin'
189.7654 	EXP 	grating: autoDraw = False
189.9513 	EXP 	window1: recordFrameIntervals = False
189.9524 	DATA 	Keypress: left
189.9653 	EXP 	fixation: autoDraw = False
189.9653 	EXP 	grating: autoDraw = False
189.9655 	EXP 	window1: recordFrameIntervals = False
190.9449 	EXP 	fixation: autoDraw = True
191.9481 	EXP 	fixation: autoDraw = False
191.9481 	EXP 	grating: autoDraw = True
191.9481 	EXP 	grating: tex = 'sin'
192.2479 	EXP 	grating: autoDraw = False
192.3666 	EXP 	window1: recordFrameIntervals = False
192.3676 	DATA 	Keypress: right
192.3811 	EXP 	fixation: autoDraw = False
192.3811 	EXP 	grating: autoDraw = False
192.3813 	EXP 	window1: recordFrameIntervals = False
193.3604 	EXP 	fixation: autoDraw = True
194.3638 	EXP 	fixation: autoDraw = False
194.3638 	EXP 	grating: autoDraw = True
194.3638 	EXP 	grating: tex = 'sin'
194.6637 	EXP 	grating: autoDraw = False
194.9326 	EXP 	window1: recordFrameIntervals = False
194.9338 	DATA 	Keypress: right
194.9469 	EXP 	fixation: autoDraw = False
194.9469 	EXP 	grating: autoDraw = False
194.9472 	EXP 	window1: recordFrameIntervals = False
195.9254 	EXP 	fixation: autoDraw = True
196.9299 	EXP 	fixation: autoDraw = False
196.9299 	EXP 	grating: autoDraw = True
196.9299 	EXP 	grating: tex = 'sin'
197.2296 	EXP 	grating: autoDraw = False
197.6709 	EXP 	window1: recordFrameIntervals = False
197.6715 	DATA 	Keypress: left
197.6740 	EXP 	fixation: autoDraw = False
